b,g,r,pele
?,171,133,2
127,166,218,1
127,160,229,1
124,158,218,1
176,172,124,2
56,45,237,2
140,139,88,2
177,174,129,2
99,148,226,1
202,201,163,2
15,17,0,2
157,194,254,1
125,157,222,1
128,172,225,1
117,91,75,2
0,181,0,2
142,141,227,2
181,181,141,2
149,186,254,1
178,179,137,2
115,145,200,1
140,160,225,1
46,102,151,1
134,169,219,1
160,183,228,1
173,172,122,2
159,195,255,1
201,199,164,2
159,158,102,2
181,181,135,2
176,174,126,2
200,197,153,2
178,175,130,2
51,106,151,1
137,162,212,1
121,167,225,1
55,60,21,2
184,182,134,2
115,114,56,2
102,85,76,2
108,144,214,1
116,150,203,1
58,82,74,2
178,195,238,1
230,161,98,2
138,136,82,2
190,191,149,2
80,52,211,2
134,135,101,2
205,204,170,2
163,178,227,1
170,166,142,2
138,177,229,1
168,179,129,2
0,0,1,2
179,178,134,2
111,110,52,2
96,102,155,1
5,6,4,2
142,139,88,2
46,87,136,1
202,209,252,1
169,180,230,1
157,66,159,2
152,164,228,1
199,208,251,1
108,145,201,1
154,162,221,1
197,103,134,2
123,162,214,1
90,104,156,1
167,181,234,1
151,189,253,1
197,208,252,1
197,195,161,2
176,191,237,1
165,163,109,2
167,165,111,2
138,138,90,2
160,164,129,2
198,198,158,2
20,18,0,2
179,177,129,2
132,134,92,2
96,139,196,1
37,37,7,2
141,177,225,1
199,208,251,1
127,165,219,1
164,160,112,2
60,118,177,1
53,54,15,2
161,159,105,2
103,145,220,1
44,45,11,2
190,190,150,2
51,93,140,1
199,197,162,2
167,179,233,1
54,108,163,1
49,101,161,1
98,142,196,1
40,87,143,1
126,159,228,1
31,211,252,2
148,184,232,1
44,101,146,1
156,159,110,2
111,117,170,1
172,171,121,2
135,161,228,1
81,90,134,1
165,161,112,2
150,191,253,1
9,168,255,2
181,178,133,2
146,185,253,1
79,80,40,2
133,164,217,1
164,163,113,2
183,183,137,2
120,121,59,2
118,156,221,1
150,155,110,2
149,187,251,1
122,154,220,1
205,217,253,1
85,87,81,2
60,108,174,1
199,197,162,2
113,117,170,1
101,105,64,2
116,115,57,2
80,81,31,2
199,197,162,2
114,157,208,1
13,13,1,2
135,140,89,2
